UnixTime,104,107,10A,10B,10E,110,202
175,静止,平飞,平飞,平飞,静止,静止,平飞
176,静止,平飞,平飞,平飞,静止,静止,平飞
177,静止,平飞,平飞,平飞,静止,静止,平飞
178,静止,平飞,平飞,平飞,静止,静止,平飞
179,静止,平飞,平飞,平飞,静止,静止,平飞
180,静止,平飞,平飞,平飞,静止,静止,平飞
181,静止,平飞,平飞,平飞,静止,静止,平飞
182,静止,平飞,平飞,平飞,静止,静止,平飞
183,静止,平飞,平飞,平飞,静止,静止,平飞
184,静止,平飞,平飞,平飞,静止,静止,平飞
185,静止,平飞,平飞,平飞,静止,静止,平飞
186,静止,平飞,平飞,平飞,静止,静止,平飞
187,静止,平飞,平飞,平飞,静止,静止,平飞
188,静止,平飞,平飞,平飞,静止,静止,平飞
189,静止,平飞,平飞,平飞,静止,静止,平飞
190,静止,平飞,平飞,平飞,静止,静止,平飞
191,静止,平飞,平飞,平飞,静止,静止,平飞
192,静止,平飞,平飞,平飞,静止,静止,平飞
193,静止,平飞,平飞,平飞,静止,静止,平飞
194,静止,平飞,平飞,平飞,静止,静止,平飞
195,静止,平飞,平飞,平飞,静止,静止,平飞
196,静止,平飞,平飞,平飞,静止,静止,平飞
197,静止,平飞,平飞,平飞,静止,静止,平飞
198,静止,平飞,平飞,平飞,静止,静止,平飞
199,静止,平飞,平飞,平飞,静止,静止,平飞
200,静止,平飞,平飞,平飞,静止,静止,平飞
201,静止,平飞,平飞,平飞,静止,静止,平飞
202,静止,平飞,平飞,平飞,静止,静止,平飞
203,静止,平飞,平飞,平飞,静止,静止,平飞
204,静止,平飞,平飞,平飞,静止,静止,平飞
205,静止,平飞,平飞,平飞,静止,静止,平飞
206,静止,平飞,平飞,平飞,静止,静止,平飞
207,静止,平飞,平飞,平飞,静止,静止,平飞
208,静止,平飞,平飞,平飞,静止,静止,平飞
209,静止,平飞,平飞,平飞,静止,静止,平飞
210,静止,平飞,平飞,平飞,静止,静止,平飞
211,静止,平飞,平飞,平飞,静止,静止,平飞
212,静止,平飞,平飞,平飞,静止,静止,平飞
213,静止,平飞,平飞,平飞,静止,静止,平飞
214,静止,平飞,平飞,平飞,静止,静止,平飞
215,静止,平飞,平飞,平飞,静止,静止,平飞
216,静止,平飞,平飞,平飞,静止,静止,平飞
217,静止,平飞,平飞,平飞,静止,静止,平飞
218,静止,平飞,平飞,平飞,静止,静止,平飞
219,静止,平飞,平飞,平飞,静止,静止,平飞
220,静止,平飞,平飞,平飞,静止,静止,平飞
221,静止,平飞,平飞,平飞,静止,静止,平飞
222,静止,平飞,平飞,平飞,静止,静止,平飞
223,静止,平飞,平飞,平飞,静止,静止,平飞
