UnixTime,105,107,108,10A,10B,10F,202
186,平飞,平飞,平飞,平飞,静止,静止,平飞
187,平飞,平飞,平飞,平飞,静止,静止,平飞
188,平飞,平飞,平飞,平飞,静止,静止,平飞
189,平飞,平飞,平飞,平飞,静止,静止,平飞
190,平飞,平飞,平飞,平飞,静止,静止,平飞
191,平飞,平飞,平飞,平飞,静止,静止,平飞
192,平飞,平飞,平飞,平飞,静止,静止,平飞
193,平飞,平飞,平飞,平飞,静止,静止,平飞
194,平飞,平飞,平飞,平飞,静止,静止,平飞
195,平飞,平飞,平飞,平飞,静止,静止,平飞
196,平飞,平飞,平飞,平飞,静止,静止,平飞
197,平飞,平飞,平飞,平飞,静止,静止,平飞
198,平飞,平飞,平飞,平飞,静止,静止,平飞
199,平飞,平飞,平飞,平飞,静止,静止,平飞
200,平飞,平飞,平飞,平飞,静止,静止,平飞
201,平飞,平飞,平飞,平飞,静止,静止,平飞
202,平飞,平飞,平飞,平飞,静止,静止,平飞
203,平飞,平飞,平飞,平飞,静止,静止,平飞
204,平飞,平飞,平飞,平飞,静止,静止,平飞
205,平飞,平飞,平飞,平飞,静止,静止,平飞
206,平飞,平飞,平飞,平飞,静止,静止,平飞
207,平飞,平飞,平飞,平飞,静止,静止,平飞
208,平飞,平飞,平飞,平飞,静止,静止,平飞
209,平飞,平飞,平飞,平飞,静止,静止,平飞
210,平飞,平飞,平飞,平飞,静止,静止,平飞
211,平飞,平飞,平飞,平飞,静止,静止,平飞
212,平飞,平飞,平飞,平飞,静止,静止,平飞
213,平飞,平飞,平飞,平飞,静止,静止,平飞
214,平飞,平飞,平飞,平飞,静止,静止,平飞
215,平飞,平飞,平飞,平飞,静止,静止,平飞
216,平飞,平飞,平飞,平飞,静止,静止,平飞
217,平飞,平飞,平飞,平飞,静止,静止,平飞
218,平飞,平飞,平飞,平飞,静止,静止,平飞
219,平飞,平飞,平飞,平飞,静止,静止,平飞
220,平飞,平飞,平飞,平飞,静止,静止,平飞
221,平飞,平飞,平飞,平飞,静止,静止,平飞
222,平飞,平飞,平飞,平飞,静止,静止,平飞
223,平飞,平飞,平飞,平飞,静止,静止,平飞
224,平飞,平飞,平飞,平飞,静止,静止,平飞
225,平飞,平飞,平飞,平飞,静止,静止,平飞
226,平飞,平飞,平飞,平飞,静止,静止,平飞
227,平飞,平飞,平飞,平飞,静止,静止,平飞
228,平飞,平飞,平飞,平飞,静止,静止,平飞
229,平飞,平飞,平飞,平飞,静止,静止,平飞
230,平飞,平飞,平飞,平飞,静止,静止,平飞
231,平飞,平飞,平飞,平飞,静止,静止,平飞
232,平飞,平飞,平飞,平飞,静止,静止,平飞
233,平飞,平飞,平飞,平飞,静止,静止,平飞
234,平飞,平飞,平飞,平飞,静止,静止,平飞
235,平飞,平飞,平飞,平飞,平飞,静止,平飞
236,平飞,平飞,平飞,平飞,平飞,静止,平飞
237,平飞,平飞,平飞,平飞,平飞,静止,平飞
238,平飞,平飞,平飞,平飞,平飞,静止,平飞
239,平飞,平飞,平飞,平飞,平飞,静止,平飞
240,平飞,平飞,平飞,平飞,平飞,静止,平飞
241,平飞,平飞,平飞,平飞,平飞,静止,平飞
242,平飞,平飞,平飞,平飞,平飞,静止,平飞
243,平飞,平飞,平飞,平飞,平飞,静止,平飞
244,平飞,平飞,平飞,平飞,平飞,静止,平飞
245,平飞,平飞,平飞,平飞,平飞,静止,平飞
246,平飞,平飞,平飞,平飞,平飞,静止,平飞
247,平飞,平飞,平飞,平飞,平飞,静止,平飞
248,平飞,平飞,平飞,平飞,平飞,静止,平飞
249,平飞,平飞,平飞,平飞,平飞,静止,平飞
250,平飞,平飞,平飞,平飞,平飞,静止,平飞
251,平飞,平飞,平飞,平飞,平飞,静止,平飞
252,平飞,平飞,平飞,平飞,平飞,静止,平飞
