UnixTime,103,105,106,10B,10D,202,207,307
420,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
421,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
422,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
423,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
424,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
425,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
426,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
427,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
428,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
429,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
430,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
431,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
432,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
433,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
434,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
435,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
436,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
437,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
438,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
439,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
440,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
441,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
442,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
443,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
444,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
445,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
